iter	Passed	Remaining
0	0	91
1	1	85
2	2	81
3	3	77
4	4	76
5	4	74
6	5	73
7	6	72
8	7	71
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	64
15	12	63
16	12	62
17	13	60
18	14	59
19	14	58
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	10
86	62	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
